"1","1_logo.png","Cowley Road Disco"," 105 Cowley Road, Oxford, OX1 1CW","01865 111 111","contact@cowleydisco.co.uk","www.cowleydisco.co.uk","1_photo.jpg","We are the best and awareded by the body"
"2","2_logo.png","Oxford Party"," 205 London Road, Oxford, OX2 2HD","01865 222 222","contact@oxford.co.uk","www.oxford.co.uk","2_photo.jpg","We are the second best and awareded by the body"
"3","3_logo.png","H2O Relax"," 305 Cowley Road, Oxford, OX1 1CW","01865 111 111","contact@cowleydisco.co.uk","www.cowleydisco.co.uk","3_photo.jpg","We are the best and awareded by the body"
"4","4_logo.png","Champion Guys"," 405 London Road, Oxford, OX2 2HD","01865 222 222","contact@oxford.co.uk","www.oxford.co.uk","4_photo.jpg","We are the second best and awareded by the body"
"5","5_logo.png","Rats and Parrots"," 505 Cowley Road, Oxford, OX1 1CW","01865 111 111","contact@cowleydisco.co.uk","www.cowleydisco.co.uk","5_photo.jpg","We are the best and awareded by the body"
"6","6_logo.png","The O2 Academy"," 605 London Road, Oxford, OX2 2HD","01865 222 222","contact@oxford.co.uk","www.oxford.co.uk","6_photo.jpg","We are the second best and awareded by the body"
"7","7_logo.png","Lava and Ignite"," 705 Cowley Road, Oxford, OX1 1CW","01865 111 111","contact@cowleydisco.co.uk","www.cowleydisco.co.uk","7_photo.jpg","We are the best and awareded by the body"
"8","8_logo.png","The Junction"," 805 London Road, Oxford, OX2 2HD","01865 222 222","contact@oxford.co.uk","www.oxford.co.uk","8_photo.jpg","We are the second best and awareded by the body"
"9","9_logo.png","The Lodge"," 905 Cowley Road, Oxford, OX1 1CW","01865 111 111","contact@cowleydisco.co.uk","www.cowleydisco.co.uk","9_photo.jpg","We are the best and awareded by the body"
"10","10_logo.png","Camera"," 106 London Road, Oxford, OX2 2HD","01865 222 222","contact@oxford.co.uk","www.oxford.co.uk","10_photo.jpg","We are the second best and awareded by the body"
